product_ID,product_type,product_name,psize,colour,invoice_no,customer_id,gender,age,quantity,price,payment_method,invoice_date,shopping_mall,clickstream_data,,Label
172.217.10.129-10.42.0.211-443-57533-6,Shirt,Oxford Cloth,XS,red,I138884,C241288,Female,28,5,1500.4,Credit Card,05-08-22,Kanyon,"A red coloured, XS sized, Oxford Cloth Shirt",,0
10.42.0.211-10.42.0.1-1487-53-17,Shirt,Oxford Cloth,S,red,I317333,C111565,Male,21,3,1800.51,Debit Card,12-12-21,Forum Istanbul,"A red coloured, S sized, Oxford Cloth Shirt",,1
10.42.0.1-10.42.0.42-53-10076-17,Shirt,Oxford Cloth,M,red,I127801,C266599,Male,20,1,300.08,Cash,09-11-21,Metrocity,"A red coloured, M sized, Oxford Cloth Shirt",,0
157.240.2.35-10.42.0.151-443-34508-6,Shirt,Oxford Cloth,L,red,I173702,C988172,Female,66,5,3000.85,Credit Card,16-05-21,Metropol AVM,"A red coloured, L sized, Oxford Cloth Shirt",,1
172.217.10.99-10.42.0.211-443-49819-6,Shirt,Oxford Cloth,XL,red,I337046,C189076,Female,53,4,60.6,Cash,24-10-21,Kanyon,"A red coloured, XL sized, Oxford Cloth Shirt",,0
172.217.12.174-10.42.0.42-443-55995-6,Shirt,Oxford Cloth,XS,orange,I227836,C657758,Female,28,5,1500.4,Credit Card,24-05-22,Forum Istanbul,"A orange coloured, XS sized, Oxford Cloth Shirt",,0
172.217.7.163-10.42.0.42-443-40747-6,Shirt,Oxford Cloth,S,orange,I121056,C151197,Female,49,1,40.66,Cash,13-03-22,Istinye Park,"A orange coloured, S sized, Oxford Cloth Shirt",,0
183.79.250.123-10.42.0.211-443-36972-6,Shirt,Oxford Cloth,M,orange,I293112,C176086,Female,32,2,600.16,Credit Card,13-01-21,Mall of Istanbul,"A orange coloured, M sized, Oxford Cloth Shirt",,0
172.217.10.67-10.42.0.211-443-41249-6,Shirt,Oxford Cloth,L,orange,I293455,C159642,Male,69,3,900.24,Credit Card,04-11-21,Metrocity,"A orange coloured, L sized, Oxford Cloth Shirt",,1
10.42.0.151-103.7.30.118-60374-80-6,Shirt,Oxford Cloth,XL,orange,I326945,C283361,Female,60,2,600.16,Credit Card,22-08-21,Kanyon,"A orange coloured, XL sized, Oxford Cloth Shirt",,0
10.42.0.211-106.11.94.27-57975-443-6,Shirt,Oxford Cloth,XS,yellow,I306368,C240286,Female,36,2,10.46,Cash,25-12-22,Metrocity,"A yellow coloured, XS sized, Oxford Cloth Shirt",,0
10.42.0.151-10.42.0.1-37556-53-17,Shirt,Oxford Cloth,S,yellow,I139207,C191708,Female,29,1,15.15,Credit Card,28-10-22,Emaar Square Mall,"A yellow coloured, S sized, Oxford Cloth Shirt",,1
10.42.0.211-77.234.42.92-58992-443-6,Shirt,Oxford Cloth,M,yellow,I640508,C225330,Female,67,4,143.36,Debit Card,31-07-22,Metrocity,"A yellow coloured, M sized, Oxford Cloth Shirt",,0
10.42.0.211-23.77.88.53-43881-443-6,Shirt,Oxford Cloth,L,yellow,I179802,C312861,Male,25,2,600.16,Cash,17-11-22,Cevahir AVM,"A yellow coloured, L sized, Oxford Cloth Shirt",,1
172.217.12.170-10.42.0.211-443-35387-6,Shirt,Oxford Cloth,XL,yellow,I336189,C555402,Female,67,2,600.16,Credit Card,03-06-22,Kanyon,"A yellow coloured, XL sized, Oxford Cloth Shirt",,0
203.205.158.60-10.42.0.211-80-44252-6,Shirt,Oxford Cloth,XS,green,I688768,C362288,Male,24,5,3000.85,Credit Card,07-11-21,Viaport Outlet,"A green coloured, XS sized, Oxford Cloth Shirt",,0
10.42.0.211-104.192.110.245-49746-443-6,Shirt,Oxford Cloth,S,green,I294687,C300786,Male,65,2,30.3,Debit Card,16-01-21,Metrocity,"A green coloured, S sized, Oxford Cloth Shirt",,1
203.205.158.62-10.42.0.211-80-49724-6,Shirt,Oxford Cloth,M,green,I195744,C330667,Female,42,3,15.69,Credit Card,05-01-22,Zorlu Center,"A green coloured, M sized, Oxford Cloth Shirt",,0
10.42.0.211-23.206.173.182-50896-80-6,Shirt,Oxford Cloth,L,green,I993048,C218149,Female,46,2,600.16,Cash,26-07-21,Metropol AVM,"A green coloured, L sized, Oxford Cloth Shirt",,1
